(object property),,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Característica de (domain),,AgileTeam,AgileTeam,AgileTeam,AgileTeam,AgileTeam,AgileTeam,AgileTeam,AgileTeam,AgileTeam,AgileProject,AgileProject,AgileProject,AgileProject,AgileProject,AgileProject,AgileProject,AgileProject,AgileProject,AgileProject,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,AgileProfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipo dato caracteristica,,IntervalValue,NominalValue,OrdinalValue,OrdinalValue,OrdinalValue,OrdinalValue,OrdinalValue,NominalValue,OrdinalValue,OrdinalValue,OrdinalValue,OrdinalValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,OrdinalValue,OrdinalValue,BinaryValue,BinaryValue,BinaryValue,BinaryValue,NominalValue,OrdinalValue,OrdinalValue,OrdinalValue,NominalValue,OrdinalValue,NominalValue,OrdinalValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agile Profile,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,59,60,61,62,63,64,66,67,68,69,70,71,72,,,,,,,,,,,,,,,,,
característica,,TeamSize,TeamDistribution,Turnover,PreviousCooperation,DomainKnowledge,ToolKnowledge,TechnologyKnowledgeAndProcessKnowledge,CrossfunctionalTeam,ProcessKnowledge,Complexity,DegreeOfInnovation,Safety&security,LegacySystem,LegacySystemDocumentation,HardwareDevelopment,NeighboringSystems,UserInterfaceAndSystemIntegrationTest,ConceptualSolution,TechnicalSolution,Prototyping,ClearProjectProposal,ManagementAvailability,ManagementSupport,Subcontractors,FinancialControlling,Measurement,TechnicalSupport,COTSPproducts,ProjectBudget,ProjectDuration,ProgrammingLanguage,OperatingSystems,DatabaseSystem,ToolInfrastructure,LegalAspects,NumberOfStakeholders,Stakeholder/UserAvailability,Stakeholder/UserBackground,RequirementsStability,ClientProcess,TypeOfContract,UserBackgroundAndTrainings,,,,,,,,,,,DailyMeeting/DailyScrum/DailyStandUp,Developing by feature/developing by component,,Product backlog/features list/sprint backlog/release backlog,Iteration planning/planning game/ sprint planning,Iteration review/sprint review,,,,,Retrospective,AnalogTaskboard/AnalogStoryBoard//KanbanBoard,DigitalTaskboard/DigitalStoryBoard/KanbanBoard,Kanban boardSprint / Iteration,,,,,,,,,,FeaturesTeam/Role-Feature,,,,ShortRelease/ Small release,,,,,,,,,,,,,,,,,,,,PointEstimates/ Story Points,,,,,,,,,,,,,,,,,,,,,,,,,,,Scrumban,,,,,,,,,,
(range),AgileProfile ID,TeamSize,TeamDistribution,TeamTurnover,TeamPreviousCooperation,TeamDomainKnowledge,TeamToolKnowledge,TeamTechnologyKnowledge,TeamCrossfunctionalTeam,TeamProcessKnowledge,Complexity,DegreeOfInnovation,Safety&Security,LegacySystem,LegacySystemDocumentation,HardwareDevelopment,NeighboringSystems,UserInterfaceAndSystemIntegrationTest,ConceptualSolution,TechnicalSolution,Prototyping_,ClearProjectProposal,ManagementAvailability,ManagementSupport,Subcontractors,FinancialControlling,Measurement,TechnicalSupport,COTSPproducts,ProjectBudget,ProjectDuration,ProgrammingLanguage,OperatingSystems,DatabaseSystem,ToolInfrastructure,Legal_aspects,NumberOfStakeholders,Stakeholder/Client/UserAvailability,Stakeholder/Client/UserBackground,RequirementsStability,ClientProcess,TypeOfContract,UserBackgroundAndTrainings,,,,,,,,Adopted practices (ID),AcceptanceTesting,CollectiveOwnership,DailyMeeting/DailyScrum/DailyStandUp,DevelopingByfeature/DevelopingByComponent,EmpoweredTeam,ProductBacklog/FeatureslList/SprintBacklog/ReleaseBacklog,IterationPlanning/PlanningGame/SprintPlanning,IterationReview/SprintReview,On-siteCustomer,OpenOfficeSpace,PairProgramming,Refactoring,Retrospective,AnalogTaskboard/AnalogStoryBoard//KanbanBoard,DigitalTaskboard/DigitalStoryBoard/KanbanBoard,Kanban boardSprint / Iteration,Test-drivenDevelopment,Time-boxedPlanning,WasteElimination,40-hoursPerWeek,CodingStandard,CollaborativeTeams,ContinuousIntegration,CustomerFocusedGroupReview,DomainObjectModeling,FeaturesTeam/Role-Feature,Inspection,Metaphor,DedicatedProductOwner,ShortRelease/ Small release,SimpleDesign,UnitTesting,Velocitiy,ReversibleChanges,Prototypes,Brainstorming,Reporting/VisibilityOfResults,Interview–Structured,Interview–Unstructured,Behavior-drivenDevelopment,AutomatedBuild,AutomatedTest,CodeReview,Priorization,PlanningPoker,StorySplitting,UserStories,VersionControl,Burndown/Team-BasedEstimation,PointEstimates/ Story Points,DefinitionOfDone,Niko-Niko,PersonalMaps,Personas,ScrumOfScrums,BurnupChart,WIP,StoryMapping,INVEST,IncrementalDevelopment,Facilitation,ContinuousDeployment,Testing/ExploratoryTesting/UsabilityTesting,RuleOfSimplicity,Given-When-Then,MockObjects,ATDD/STDD,KudoBox,CultureBook,HappinessDoor,,,Adopted Methods,Scrum,Kanban,Lean,Scrumban,Híbridos personalizados,Agile Modelling,Desarrollo Iterativo,eXtremePrograming(XP),Scrum of Scrums,Métodos creados internamente,,,,
Entrevista1,1,3,1,1,5,5,5,5,5,5,4,5,3,0,0,0,0,1,,,1,1,1,1,0,1,1,1,1,1,3,,,,,1,2,3,3,2,2,5,1,Entrevista1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entrevista2,2,2,1,2,4,1,4,3,1,3,5,1,2,0,0,0,0,0,,,0,0,1,1,0,0,1,1,0,1,1,,,,,3,4,2,3,1,3,3,3,Entrevista2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entrevista3,3,4,2,2,4,1,4,2,2,3,2,1,1,0,0,1,0,1,,,0,1,0,0,1,0,0,0,0,1,2,,,,,1,4,2,3,4,3,3,3,Entrevista3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entrevista4,4,1,2,3,5,5,5,5,5,5,4,5,3,0,0,0,0,1,,,1,1,1,1,0,1,1,1,0,1,3,,,,,3,2,3,3,2,2,5,1,Entrevista4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entrevista5,5,5,3,3,4,4,4,5,3,1,2,1,5,1,1,0,0,0,,,0,1,1,1,1,0,1,1,0,1,5,,,,,2,1,5,2,1,1,1,3,Entrevista5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
